[    3647ms] [WARNING] [.WebGL-0x34bc00143e00] GL_INVALID_OPERATION: glBlitFramebuffer: Read and write depth stencil attachments cannot be the same image. @ http://localhost:5173/:0
[    3704ms] [WARNING] [.WebGL-0x34bc00143e00] GL_INVALID_OPERATION: glBlitFramebuffer: Read and write depth stencil attachments cannot be the same image. @ http://localhost:5173/:0
[    3762ms] [WARNING] [.WebGL-0x34bc00143e00] GL_INVALID_OPERATION: glBlitFramebuffer: Read and write depth stencil attachments cannot be the same image. @ http://localhost:5173/:0
[    3820ms] [WARNING] [.WebGL-0x34bc00143e00] GL_INVALID_OPERATION: glBlitFramebuffer: Read and write depth stencil attachments cannot be the same image. @ http://localhost:5173/:0
[    3881ms] [WARNING] [.WebGL-0x34bc00143e00] GL_INVALID_OPERATION: glBlitFramebuffer: Read and write depth stencil attachments cannot be the same image. @ http://localhost:5173/:0
[    3939ms] [WARNING] [.WebGL-0x34bc00143e00] GL_INVALID_OPERATION: glBlitFramebuffer: Read and write depth stencil attachments cannot be the same image. @ http://localhost:5173/:0
[    4001ms] [WARNING] [.WebGL-0x34bc00143e00] GL_INVALID_OPERATION: glBlitFramebuffer: Read and write depth stencil attachments cannot be the same image. @ http://localhost:5173/:0
[    4058ms] [WARNING] [.WebGL-0x34bc00143e00] GL_INVALID_OPERATION: glBlitFramebuffer: Read and write depth stencil attachments cannot be the same image. @ http://localhost:5173/:0
[    4118ms] [WARNING] [.WebGL-0x34bc00143e00] GL_INVALID_OPERATION: glBlitFramebuffer: Read and write depth stencil attachments cannot be the same image. @ http://localhost:5173/:0
[    4176ms] [WARNING] [.WebGL-0x34bc00143e00] GL_INVALID_OPERATION: glBlitFramebuffer: Read and write depth stencil attachments cannot be the same image. @ http://localhost:5173/:0
[    4232ms] [WARNING] [.WebGL-0x34bc00143e00] GL_INVALID_OPERATION: glBlitFramebuffer: Read and write depth stencil attachments cannot be the same image. @ http://localhost:5173/:0
[    4291ms] [WARNING] [.WebGL-0x34bc00143e00] GL_INVALID_OPERATION: glBlitFramebuffer: Read and write depth stencil attachments cannot be the same image. @ http://localhost:5173/:0
[    4348ms] [WARNING] [.WebGL-0x34bc00143e00] GL_INVALID_OPERATION: glBlitFramebuffer: Read and write depth stencil attachments cannot be the same image. @ http://localhost:5173/:0
[    4408ms] [WARNING] [.WebGL-0x34bc00143e00] GL_INVALID_OPERATION: glBlitFramebuffer: Read and write depth stencil attachments cannot be the same image. @ http://localhost:5173/:0
[    4465ms] [WARNING] [.WebGL-0x34bc00143e00] GL_INVALID_OPERATION: glBlitFramebuffer: Read and write depth stencil attachments cannot be the same image. @ http://localhost:5173/:0
[    4524ms] [WARNING] [.WebGL-0x34bc00143e00] GL_INVALID_OPERATION: glBlitFramebuffer: Read and write depth stencil attachments cannot be the same image. @ http://localhost:5173/:0
[    4583ms] [WARNING] [.WebGL-0x34bc00143e00] GL_INVALID_OPERATION: glBlitFramebuffer: Read and write depth stencil attachments cannot be the same image. @ http://localhost:5173/:0
[    4639ms] [WARNING] [.WebGL-0x34bc00143e00] GL_INVALID_OPERATION: glBlitFramebuffer: Read and write depth stencil attachments cannot be the same image. @ http://localhost:5173/:0
[    4697ms] [WARNING] [.WebGL-0x34bc00143e00] GL_INVALID_OPERATION: glBlitFramebuffer: Read and write depth stencil attachments cannot be the same image. @ http://localhost:5173/:0
[    4757ms] [WARNING] [.WebGL-0x34bc00143e00] GL_INVALID_OPERATION: glBlitFramebuffer: Read and write depth stencil attachments cannot be the same image. @ http://localhost:5173/:0
[    4817ms] [WARNING] [.WebGL-0x34bc00143e00] GL_INVALID_OPERATION: glBlitFramebuffer: Read and write depth stencil attachments cannot be the same image. @ http://localhost:5173/:0
[    4878ms] [WARNING] [.WebGL-0x34bc00143e00] GL_INVALID_OPERATION: glBlitFramebuffer: Read and write depth stencil attachments cannot be the same image. @ http://localhost:5173/:0
